Date,Type,URL_found,Malicious_URL,Account,TweetURL,Threat_category,Tweet
09/26/2023,URL,hxxps://bananagun.co/,https://bananagun.co/,@CertiKAlert,https://twitter.com/CertiKAlert/status/1706619338822709286,Phishing URL,#CertiKSkynetAlert 🚨  Beware of a fake Banana Gun airdrop being promoted on X  Do not interact with hxxps://bananagun.co/  Site connects to a wallet drainer.   https://t.co/sdfiEPLLxq
11/05/2023,URL,hxxps://www.xend.fi/,https://www.xend.fi/,@CertiKAlert,https://twitter.com/CertiKAlert/status/1711364245130977788,Phishing URL,#CertiKSkynetAlert 🚨  We have detected a scam airdrop that points users to a phishing site  Token encourages users to visit hxxps://www.xend.fi/  Do not interact with this URL.  https://t.co/T7W4fDQT67
01/01/2024,URL,hxxps://artclocks.io/,https://artclocks.io/,@CertiKAlert,https://twitter.com/CertiKAlert/status/1741840573701472568,Phishing URL,#CertiKSkynetAlert 🚨  @billyrestey X account is compromised.  Do not interact with hxxps://artclocks.io/  Site connects to a known wallet drainer https://t.co/TOBBj2hwvQ
